recordid	userid	session	trialNum	task	imgname	srounded	sangular	slinear	smovement	spoints	ssoft	srepeated	water	people	plants	food	animals	temperature	scenetype	movement	location	keywords	timetorespond	score	z	trials	timestamp	created_at	updated_at
92	283f666c49	1	1	gotpsi	400081	1.00	0.00	1.00	NULL	0.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	1.00	5.00	building,spikes,grey,,	97	0	-0.63	1	2023-05-16 20:02:32	2023-05-16 20:02:32	2023-05-16 20:02:32
93	283f666c49	1	2	gotpsi	p29047	1.00	1.00	0.00	NULL	1.00	1.00	0.00	1.00	2.00	4.00	1.00	4.00	5.00	5.00	2.00	5.00	desert,brown,rocky,,	77	0_100	0.61	1	2023-05-16 20:03:55	2023-05-16 20:03:55	2023-05-16 20:03:55
94	22b0d21533	1	1	gotpsi	400008	0.00	1.00	0.00	NULL	0.00	0.00	1.00	4.00	2.00	5.00	1.00	2.00	4.00	1.00	2.00	5.00	Comfortable,Light,Soothing,,	133	0	-0.31	1	2023-05-16 23:26:10	2023-05-16 23:26:10	2023-05-16 23:26:10
95	22b0d21533	1	2	gotpsi	400087	0.00	1.00	0.00	NULL	0.00	0.00	0.00	4.00	3.00	5.00	5.00	2.00	2.00	4.00	3.00	5.00	Blue,45 degree,Tropical,,	141	0_100	0.51	1	2023-05-16 23:28:42	2023-05-16 23:28:42	2023-05-16 23:28:42
96	00d06796e4	1	1	gotpsi	p87001	1.00	0.00	0.00	NULL	1.00	0.00	1.00	5.00	3.00	4.00	1.00	1.00	3.00	5.00	3.00	5.00	House,Forest,River,,	102	0	-0.55	1	2023-05-17 03:10:02	2023-05-17 03:10:02	2023-05-17 03:10:02
97	00d06796e4	1	2	gotpsi	400078	0.00	1.00	1.00	NULL	0.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	5.00	1.00	1.00	Ice cream,Scoops,Black,,	71	0_100	0.34	1	2023-05-17 03:11:20	2023-05-17 03:11:20	2023-05-17 03:11:20
98	52946e67cb	1	1	GotPsi	p63084	0.00	1.00	0.00	NULL	1.00	0.00	1.00	5.00	4.00	2.00	1.00	4.00	1.00	5.00	4.00	5.00	ICE,SEA,DIVER,BIRDS,BLUE	275	0	-1.31	1	2023-05-17 08:15:40	2023-05-17 08:15:40	2023-05-17 08:15:40
99	52946e67cb	1	1	GotPsi	p1003	0.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	4.00	2.00	2.00	2.00	4.00	2.00	2.00	5.00	CITY,BUILDINGS,LAKE,BRIDGE,METAL	142	0	1.33	1	2023-05-17 08:18:20	2023-05-17 08:18:20	2023-05-17 08:18:20
100	52946e67cb	1	1	GotPsi	p130000	0.00	1.00	0.00	NULL	1.00	0.00	0.00	1.00	2.00	3.00	5.00	1.00	3.00	3.00	1.00	2.00	FRUIT,PIE,CIRCLES,BAKE,SWEET	84	0	0.53	1	2023-05-17 08:20:01	2023-05-17 08:20:01	2023-05-17 08:20:01
101	52946e67cb	1	1	GotPsi	400006	0.00	1.00	1.00	NULL	1.00	0.00	0.00	5.00	5.00	4.00	1.00	5.00	1.00	5.00	5.00	5.00	DIVER,FISH,REEF,BLUE,ROCKS	59	0	-0.07	1	2023-05-17 08:21:15	2023-05-17 08:21:15	2023-05-17 08:21:15
102	52946e67cb	1	1	GotPsi	p31032	1.00	0.00	0.00	NULL	1.00	0.00	0.00	4.00	1.00	1.00	1.00	5.00	1.00	5.00	5.00	5.00	ICE,BEAR,SNOW,WHITE,FURRY	56	0	2.21	1	2023-05-17 08:22:39	2023-05-17 08:22:39	2023-05-17 08:22:39
103	52946e67cb	1	1	GotPsi	p11001	0.00	0.00	0.00	NULL	1.00	1.00	0.00	2.00	5.00	5.00	3.00	1.00	4.00	4.00	4.00	5.00	CHILD,HAT,MAN,WOMAN,YELLOW	75	0	-0.39	1	2023-05-17 08:24:15	2023-05-17 08:24:15	2023-05-17 08:24:15
104	52946e67cb	1	1	GotPsi	400068	1.00	1.00	1.00	NULL	0.00	0.00	0.00	1.00	2.00	1.00	1.00	1.00	2.00	2.00	5.00	5.00	PLANES,FLY,SKY,CLOUD,SMOKE	51	0	1.00	1	2023-05-17 08:25:26	2023-05-17 08:25:26	2023-05-17 08:25:26
105	52946e67cb	1	1	GotPsi	p87037	0.00	0.00	0.00	NULL	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	1.00	5.00	CHURCH,TOWER,CLOCK,STONE,BUILDING	61	0	-0.42	1	2023-05-17 08:26:45	2023-05-17 08:26:45	2023-05-17 08:26:45
106	52946e67cb	1	1	GotPsi	p121085	0.00	0.00	1.00	NULL	1.00	0.00	0.00	4.00	2.00	3.00	1.00	1.00	3.00	2.00	2.00	5.00	BRIDGE,RAILS,METAL,RED,RIVER	61	0	1.07	1	2023-05-17 08:28:06	2023-05-17 08:28:06	2023-05-17 08:28:06
107	52946e67cb	1	1	GotPsi	400073	0.00	0.00	1.00	NULL	0.00	0.00	0.00	2.00	5.00	5.00	5.00	1.00	3.00	3.00	4.00	5.00	CHILD,MAN,WOMAN,PLAY,ICE CREAM	77	0	-0.33	1	2023-05-17 08:29:54	2023-05-17 08:29:54	2023-05-17 08:29:54
108	52946e67cb	1	1	GotPsi	400055	1.00	0.00	0.00	NULL	0.00	1.00	1.00	1.00	1.00	2.00	1.00	1.00	5.00	1.00	1.00	5.00	PYRAMID,DESERT,EGYPT,STONE,STATUE	64	0	0.13	1	2023-05-17 08:31:16	2023-05-17 08:31:16	2023-05-17 08:31:16
109	52946e67cb	1	1	GotPsi	p1043	0.00	0.00	0.00	NULL	0.00	1.00	1.00	1.00	1.00	5.00	1.00	1.00	4.00	5.00	1.00	5.00	ROCK,ARCH,DESERT,SUNSET,TREE	85	0	-0.27	1	2023-05-17 08:32:58	2023-05-17 08:32:58	2023-05-17 08:32:58
110	52946e67cb	1	1	GotPsi	j0180654	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	2.00	1.00	5.00	3.00	4.00	4.00	3.00	CAT,FURRY,BLACK,SOFT,STRIPES	74	0	1.20	1	2023-05-17 08:34:29	2023-05-17 08:34:29	2023-05-17 08:34:29
111	52946e67cb	1	1	GotPsi	j0202015	1.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	5.00	1.00	1.00	1.00	2.00	2.00	4.00	5.00	SHIP,SAIL,BOAT,OCEAN,WAVES	52	0	-2.36	1	2023-05-17 08:35:50	2023-05-17 08:35:50	2023-05-17 08:35:50
112	fff8c30e58	1	1	GotPsi	p74027	0.00	1.00	0.00	NULL	0.00	0.00	1.00	5.00	3.00	5.00	5.00	4.00	3.00	1.00	2.00	2.00	round,yellow,moist,,	52	0	-0.70	1	2023-05-17 15:04:01	2023-05-17 15:04:01	2023-05-17 15:04:01
113	fff8c30e58	1	1	GotPsi	ph02008j	0.00	0.00	0.00	NULL	1.00	1.00	1.00	3.00	4.00	5.00	3.00	5.00	4.00	5.00	5.00	5.00	horse,animal,grass,,	61	0	0.33	1	2023-05-17 15:05:04	2023-05-17 15:05:04	2023-05-17 15:05:04
114	283f666c49	1	1	gotpsi	400001	0.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	5.00	2.00	3.00	2.00	4.00	2.00	5.00	1.00	seats,court,basketball,,	68	0	-0.92	1	2023-05-17 20:52:06	2023-05-17 20:52:06	2023-05-17 20:52:06
115	283f666c49	1	2	gotpsi	p46017	1.00	0.00	1.00	NULL	0.00	1.00	0.00	3.00	4.00	4.00	1.00	2.00	2.00	5.00	3.00	5.00	climber,mountain,sky,,	58	0_100	-2.21	1	2023-05-17 20:53:11	2023-05-17 20:53:11	2023-05-17 20:53:11
116	cfa64fd443	1	1	gotpsi	ph02786j	1.00	0.00	1.00	NULL	0.00	0.00	1.00	1.00	1.00	3.00	1.00	1.00	3.00	5.00	1.00	5.00	Rolling hills,Green,Cottage,Blue sky,Pitched roof	62	0	-0.24	1	2023-05-17 21:31:11	2023-05-17 21:31:11	2023-05-17 21:31:11
117	cfa64fd443	1	2	gotpsi	400049	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	4.00	1.00	5.00	5.00	5.00	5.00	5.00	Cheetah,Three,Spots,Brown,	48	0_100	-0.47	1	2023-05-17 21:32:04	2023-05-17 21:32:04	2023-05-17 21:32:04
118	cfa64fd443	1	2	gotpsi	p170013	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	4.00	1.00	5.00	5.00	5.00	5.00	5.00	Cheetah,Three,Spots,Brown,	83	0_100	-0.13	1	2023-05-17 21:32:39	2023-05-17 21:32:39	2023-05-17 21:32:39
119	cfa64fd443	1	2	gotpsi	p1029	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	4.00	1.00	5.00	5.00	5.00	5.00	5.00	Cheetah,Three,Spots,Brown,	84	0_100	-1.01	1	2023-05-17 21:32:40	2023-05-17 21:32:40	2023-05-17 21:32:40
120	cfa64fd443	1	1	gotpsi	j0145707	0.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	3.00	1.00	5.00	4.00	5.00	1.00	1.00	Window,Cat,Plant,,	55	0	0.21	1	2023-05-17 21:44:13	2023-05-17 21:44:13	2023-05-17 21:44:13
121	cfa64fd443	1	1	gotpsi	400039	0.00	0.00	1.00	NULL	0.00	0.00	1.00	5.00	1.00	1.00	1.00	5.00	5.00	5.00	5.00	5.00	Water,Dolphin,Clouds,,	47	0	-0.03	1	2023-05-17 21:45:04	2023-05-17 21:45:04	2023-05-17 21:45:04
122	1ef651d180	1	1	gotpsi	p1114	0.00	1.00	0.00	NULL	1.00	0.00	0.00	5.00	1.00	2.00	1.00	1.00	5.00	5.00	4.00	5.00	Water,Sun,Grey,,	49	0	-0.63	1	2023-05-17 22:20:13	2023-05-17 22:20:13	2023-05-17 22:20:13
123	1ef651d180	1	2	gotpsi	400034	1.00	0.00	0.00	NULL	1.00	1.00	0.00	1.00	5.00	3.00	1.00	1.00	5.00	5.00	5.00	5.00	Dance,Human,Gold,,	46	0_100	-0.67	1	2023-05-17 22:21:03	2023-05-17 22:21:03	2023-05-17 22:21:03
124	00d06796e4	1	1	gotpsi	400087	0.00	1.00	1.00	NULL	1.00	0.00	1.00	3.00	1.00	4.00	1.00	1.00	2.00	5.00	1.00	5.00	Lake,Snow,Cabin,,	44	0	2.00	1	2023-05-17 22:45:20	2023-05-17 22:45:20	2023-05-17 22:45:20
125	00d06796e4	1	2	gotpsi	400020	0.00	1.00	1.00	NULL	1.00	1.00	0.00	1.00	1.00	1.00	1.00	3.00	3.00	3.00	1.00	1.00	Colors,Black background,Circles,,	69	0_100	1.33	1	2023-05-17 22:46:33	2023-05-17 22:46:33	2023-05-17 22:46:33
126	2e46b02c1c	1	1	gotpsi	j0078610	0.00	1.00	1.00	NULL	1.00	0.00	1.00	2.00	3.00	2.00	1.00	2.00	3.00	3.00	2.00	5.00	Mountain,Sky,Landscape,,	52	0	-1.52	1	2023-05-18 02:31:02	2023-05-18 02:31:02	2023-05-18 02:31:02
127	2e46b02c1c	1	2	gotpsi	p46093	1.00	1.00	1.00	NULL	1.00	0.00	0.00	3.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	3.00	Blue,Lines,Vertical,,	63	0_100	1.69	1	2023-05-18 02:32:08	2023-05-18 02:32:08	2023-05-18 02:32:08
128	9d88252a16	1	1	gotpsi	p27071	1.00	0.00	0.00	NULL	1.00	1.00	0.00	1.00	1.00	3.00	1.00	1.00	3.00	5.00	1.00	5.00	Step,Stone,Climb,,	140	0	-1.64	1	2023-05-18 11:43:00	2023-05-18 11:43:00	2023-05-18 11:43:00
129	9d88252a16	1	2	gotpsi	p46017	0.00	1.00	0.00	NULL	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	5.00	5.00	1.00	5.00	Granular,Glistening,dry,,	145	0_100	1.20	1	2023-05-18 11:45:35	2023-05-18 11:45:35	2023-05-18 11:45:35
130	551ffb1b22	1	1	gotpsi	p19045	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	4.00	2.00	2.00	1.00	4.00	2.00	5.00	4.00	city,busy,crowd,sunny,desert	75	0	0.52	1	2023-05-18 12:57:41	2023-05-18 12:57:41	2023-05-18 12:57:41
131	551ffb1b22	1	2	gotpsi	400062	1.00	0.00	0.00	NULL	1.00	0.00	0.00	2.00	3.00	3.00	1.00	2.00	2.00	4.00	2.00	5.00	tree,plane,ship,tower,tall	84	0_100	-0.18	1	2023-05-18 12:59:07	2023-05-18 12:59:07	2023-05-18 12:59:07
132	a38c0cc8ce	1	1	gotpsi	p1103	0.00	1.00	1.00	NULL	0.00	0.00	1.00	1.00	1.00	2.00	1.00	1.00	1.00	5.00	4.00	5.00	Cloudy,Pointed,Hi Elevation,,	156	0	2.61	1	2023-05-18 13:19:24	2023-05-18 13:19:24	2023-05-18 13:19:24
133	a38c0cc8ce	1	2	gotpsi	j0178355	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	3.00	1.00	1.00	4.00	4.00	2.00	4.00	Flat,Hot,Sandy,,	103	0_100	0.17	1	2023-05-18 13:21:09	2023-05-18 13:21:09	2023-05-18 13:21:09
134	70060b0cc2	4	1	GotPsi	400062	1.00	0.00	0.00	NULL	0.00	0.00	0.00	2.00	1.00	5.00	1.00	1.00	3.00	3.00	1.00	5.00	Old buildings,Rocks,Trees,Blue sky,Distance	130	0	0.04	1	2023-05-18 19:20:24	2023-05-18 19:20:24	2023-05-18 19:20:24
135	70060b0cc2	4	1	GotPsi	p1103	0.00	1.00	0.00	NULL	1.00	0.00	1.00	5.00	5.00	2.00	1.00	1.00	5.00	5.00	5.00	5.00	Ocean,Dance,Waves,Blue,	87	0	-0.19	1	2023-05-18 19:22:05	2023-05-18 19:22:05	2023-05-18 19:22:05
136	1ef651d180	1	1	gotpsi	ph01475j	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	3.00	5.00	1.00	5.00	Building,Sky,Clouds,,	41	0	0.55	1	2023-05-18 19:26:07	2023-05-18 19:26:07	2023-05-18 19:26:07
137	1ef651d180	1	2	gotpsi	p189042	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	5.00	1.00	1.00	5.00	5.00	1.00	5.00	Wood,Knot,Brown,,	37	0_100	0.76	1	2023-05-18 19:26:52	2023-05-18 19:26:52	2023-05-18 19:26:52
138	70060b0cc2	4	1	GotPsi	p29002	0.00	1.00	1.00	NULL	0.00	0.00	1.00	5.00	5.00	5.00	1.00	5.00	3.00	5.00	3.00	5.00	Ocean,Diver,Coral,Fish,	70	0	0.22	1	2023-05-18 19:47:05	2023-05-18 19:47:05	2023-05-18 19:47:05
139	70060b0cc2	4	1	GotPsi	400052	0.00	1.00	1.00	NULL	1.00	0.00	0.00	1.00	1.00	1.00	5.00	1.00	1.00	1.00	1.00	1.00	Candy,Ice cream,Sweet,,	75	0	2.21	1	2023-05-18 19:48:26	2023-05-18 19:48:26	2023-05-18 19:48:26
140	70060b0cc2	4	1	GotPsi	j0202015	1.00	0.00	0.00	NULL	0.00	0.00	1.00	2.00	1.00	5.00	1.00	4.00	3.00	5.00	1.00	5.00	Trees,Sky,Green,,	61	0	1.25	1	2023-05-18 20:53:12	2023-05-18 20:53:12	2023-05-18 20:53:12
141	70060b0cc2	4	1	GotPsi	400023	1.00	0.00	0.00	NULL	0.00	0.00	1.00	4.00	1.00	5.00	1.00	3.00	3.00	5.00	1.00	5.00	Green,Sky,Trees,,	50	0	-0.76	1	2023-05-18 20:54:09	2023-05-18 20:54:09	2023-05-18 20:54:09
142	70060b0cc2	4	1	GotPsi	p31001	1.00	0.00	0.00	NULL	0.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	1.00	5.00	Automobile,Metal,Brown,,	54	0	1.74	1	2023-05-18 20:55:35	2023-05-18 20:55:35	2023-05-18 20:55:35
143	70060b0cc2	4	1	GotPsi	p27090	1.00	0.00	0.00	NULL	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	3.00	1.00	1.00	1.00	Red,Brick,Rectangles,,	71	0	1.05	1	2023-05-18 20:56:53	2023-05-18 20:56:53	2023-05-18 20:56:53
144	70060b0cc2	4	1	GotPsi	p1032	1.00	0.00	0.00	NULL	0.00	0.00	0.00	5.00	1.00	1.00	1.00	1.00	4.00	3.00	5.00	5.00	Sail,Water,Day,,	44	0	-0.77	1	2023-05-18 20:58:20	2023-05-18 20:58:20	2023-05-18 20:58:20
145	70060b0cc2	4	1	GotPsi	p10001	0.00	1.00	1.00	NULL	1.00	1.00	0.00	1.00	1.00	1.00	5.00	1.00	3.00	1.00	1.00	1.00	Round,Colorful,Candy,,	46	0	-1.03	1	2023-05-18 20:59:12	2023-05-18 20:59:12	2023-05-18 20:59:12
146	43f861d575	1	1	gotpsi	400016	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	1.00	3.00	1.00	2.00	4.00	4.00	2.00	5.00	Repetitive,triangle,green,brown,landscape	147	0	-0.43	1	2023-05-19 03:47:46	2023-05-19 03:47:46	2023-05-19 03:47:46
147	43f861d575	1	2	gotpsi	j0145707	0.00	1.00	1.00	NULL	1.00	1.00	1.00	1.00	5.00	2.00	4.00	2.00	4.00	3.00	5.00	2.00	Red,child,play,laugh,yellow	99	0_100	0.32	1	2023-05-19 03:49:47	2023-05-19 03:49:47	2023-05-19 03:49:47
148	fff8c30e58	1	1	GotPsi	400047	0.00	0.00	0.00	NULL	0.00	1.00	0.00	5.00	5.00	5.00	3.00	3.00	4.00	2.00	4.00	5.00	wind,fabric,statue,,	53	0	1.79	1	2023-05-19 22:59:01	2023-05-19 22:59:01	2023-05-19 22:59:01
149	fff8c30e58	1	1	GotPsi	400043	0.00	0.00	0.00	NULL	0.00	0.00	1.00	5.00	5.00	4.00	2.00	3.00	2.00	4.00	5.00	5.00	person,water,sky,,	34	0	0.42	1	2023-05-21 14:11:25	2023-05-21 14:11:25	2023-05-21 14:11:25
150	fff8c30e58	1	1	GotPsi	p25052	0.00	0.00	0.00	NULL	1.00	1.00	1.00	3.00	4.00	3.00	3.00	3.00	4.00	1.00	1.00	5.00	bicycle,green,yellow,,	48	0	-0.36	1	2023-05-22 13:57:14	2023-05-22 13:57:14	2023-05-22 13:57:14
151	fff8c30e58	1	1	GotPsi	p170071	0.00	1.00	0.00	NULL	1.00	0.00	1.00	5.00	3.00	5.00	3.00	4.00	3.00	4.00	5.00	5.00	flowers,water,wind,,	40	0	-0.56	1	2023-05-22 14:16:41	2023-05-22 14:16:41	2023-05-22 14:16:41
152	fff8c30e58	1	1	GotPsi	p87068	0.00	0.00	0.00	NULL	0.00	1.00	1.00	3.00	4.00	3.00	3.00	3.00	3.00	1.00	1.00	1.00	car,black,silver,,	28	0	0.87	1	2023-05-22 14:17:10	2023-05-22 14:17:10	2023-05-22 14:17:10
153	fff8c30e58	1	1	GotPsi	400027	0.00	1.00	1.00	NULL	1.00	0.00	0.00	4.00	4.00	5.00	5.00	3.00	4.00	5.00	2.00	3.00	wheat,bread,food,,	38	0	0.01	1	2023-05-23 01:33:42	2023-05-23 01:33:42	2023-05-23 01:33:42
154	f92becb245	1	1	gotpsi	ph02809j	0.00	0.00	0.00	NULL	1.00	0.00	0.00	1.00	5.00	5.00	1.00	3.00	4.00	5.00	2.00	5.00	Pink,Vibrant,Blue,Happy,Breeze	82	0	1.49	1	2023-05-23 06:37:41	2023-05-23 06:37:41	2023-05-23 06:37:41
155	f92becb245	1	2	gotpsi	p23031	0.00	1.00	1.00	NULL	1.00	0.00	1.00	3.00	3.00	2.00	1.00	2.00	4.00	5.00	1.00	5.00	Sun,Orange,Heat,Clouds,Fish	68	0_100	0.15	1	2023-05-23 06:39:08	2023-05-23 06:39:08	2023-05-23 06:39:08
156	f92becb245	1	1	gotpsi	p91093	0.00	0.00	0.00	NULL	1.00	1.00	0.00	3.00	1.00	1.00	5.00	1.00	2.00	1.00	1.00	1.00	Table,Food,Afternoon,Table,Red	61	0	-0.74	1	2023-05-23 07:37:38	2023-05-23 07:37:38	2023-05-23 07:37:38
157	f92becb245	1	2	gotpsi	p31032	0.00	0.00	1.00	NULL	0.00	0.00	0.00	5.00	1.00	5.00	1.00	1.00	5.00	5.00	5.00	5.00	Sand,Mountain,Grass,,	49	0_100	0.05	1	2023-05-23 07:38:33	2023-05-23 07:38:33	2023-05-23 07:38:33
158	fff8c30e58	1	1	GotPsi	p151071	0.00	1.00	0.00	NULL	1.00	0.00	1.00	3.00	5.00	5.00	3.00	5.00	4.00	2.00	5.00	5.00	dog,park,grass,,	33	0	-0.87	1	2023-05-23 18:09:12	2023-05-23 18:09:12	2023-05-23 18:09:12
159	fff8c30e58	1	1	GotPsi	p11059	0.00	0.00	0.00	NULL	1.00	1.00	1.00	3.00	5.00	3.00	3.00	3.00	4.00	1.00	4.00	3.00	black,grey,horizontal,,	39	0	-0.04	1	2023-05-23 18:09:52	2023-05-23 18:09:52	2023-05-23 18:09:52
160	fff8c30e58	1	1	GotPsi	p145059	0.00	0.00	0.00	NULL	0.00	1.00	1.00	3.00	5.00	5.00	4.00	3.00	4.00	1.00	2.00	5.00	tractor,wheels,outside,,	33	0	-0.39	1	2023-05-23 18:10:27	2023-05-23 18:10:27	2023-05-23 18:10:27
161	2e006b735f	1	1	gotpsi	400067	0.00	1.00	0.00	NULL	1.00	0.00	0.00	2.00	4.00	3.00	2.00	4.00	4.00	2.00	3.00	4.00	Balloon,Dress,Colorful,Multiples,Outside	102	0	0.42	1	2023-05-23 18:13:14	2023-05-23 18:13:14	2023-05-23 18:13:14
162	2e006b735f	1	2	gotpsi	p11059	0.00	1.00	1.00	NULL	0.00	1.00	0.00	2.00	2.00	4.00	2.00	3.00	1.00	4.00	3.00	4.00	White,Cold,Pet,Grown,	78	0_100	1.69	1	2023-05-23 18:14:40	2023-05-23 18:14:40	2023-05-23 18:14:40
163	2e006b735f	1	2	gotpsi	p27071	0.00	1.00	1.00	NULL	0.00	1.00	0.00	2.00	2.00	4.00	2.00	3.00	1.00	4.00	3.00	4.00	White,Cold,Pet,Grown,	79	0_100	-0.37	1	2023-05-23 18:14:41	2023-05-23 18:14:41	2023-05-23 18:14:41
164	b68f6fe9a2	1	1	gotpsi	p74032	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	2.00	3.00	2.00	1.00	4.00	3.00	2.00	4.00	jagged,cold,dark,,	61	0	-0.98	1	2023-05-23 18:32:03	2023-05-23 18:32:03	2023-05-23 18:32:03
165	b68f6fe9a2	1	2	gotpsi	p189042	0.00	1.00	1.00	NULL	1.00	0.00	1.00	2.00	2.00	2.00	1.00	4.00	2.00	4.00	4.00	4.00	animal,fluffy,rabbit,,	35	0_100	-0.21	1	2023-05-23 18:32:47	2023-05-23 18:32:47	2023-05-23 18:32:47
166	d40dfacc09	1	1	gotpsi	p72002	1.00	0.00	0.00	NULL	0.00	1.00	0.00	2.00	2.00	3.00	2.00	1.00	3.00	2.00	1.00	2.00	machine,triangles,yellow,,	65	0	0.73	1	2023-05-23 18:33:38	2023-05-23 18:33:38	2023-05-23 18:33:38
167	d40dfacc09	1	2	gotpsi	p22081	0.00	1.00	0.00	NULL	1.00	0.00	1.00	3.00	1.00	3.00	1.00	2.00	2.00	5.00	3.00	5.00	water,trees,forest,damp,cool	56	0_100	-0.48	1	2023-05-23 18:34:46	2023-05-23 18:34:46	2023-05-23 18:34:46
168	e23b4bcc65	1	1	gotpsi	p1080	0.00	1.00	1.00	NULL	1.00	0.00	0.00	2.00	1.00	5.00	1.00	1.00	3.00	2.00	4.00	1.00	circular,flower,repeating,,	155	0	0.96	1	2023-05-23 18:47:43	2023-05-23 18:47:43	2023-05-23 18:47:43
169	e23b4bcc65	1	2	gotpsi	j0180654	0.00	1.00	1.00	NULL	1.00	0.00	0.00	2.00	1.00	4.00	3.00	1.00	5.00	5.00	4.00	4.00	red,white,pink,,	179	0_100	-1.05	1	2023-05-23 18:50:54	2023-05-23 18:50:54	2023-05-23 18:50:54
170	3328dc4258	1	1	gotpsi	p1010	1.00	0.00	0.00	NULL	1.00	1.00	1.00	2.00	2.00	1.00	1.00	1.00	1.00	5.00	3.00	5.00	Snow,White,Mountain,,	68	0	1.07	1	2023-05-23 19:00:40	2023-05-23 19:00:40	2023-05-23 19:00:40
171	3328dc4258	1	2	gotpsi	p1043	0.00	1.00	1.00	NULL	0.00	0.00	0.00	3.00	4.00	3.00	3.00	1.00	3.00	4.00	3.00	4.00	Stone,Arch,Sunny,,	69	0_100	-0.31	1	2023-05-23 19:01:52	2023-05-23 19:01:52	2023-05-23 19:01:52
172	5b84771544	1	1	gotpsi	p19031	1.00	0.00	0.00	NULL	1.00	0.00	1.00	3.00	3.00	3.00	4.00	3.00	3.00	3.00	3.00	3.00	Variety,Warm,Bright,,	67	0	-0.19	1	2023-05-23 19:14:06	2023-05-23 19:14:06	2023-05-23 19:14:06
173	5b84771544	1	2	gotpsi	p1001	0.00	0.00	1.00	NULL	1.00	1.00	1.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	3.00	Watm,Dry,Depth,,	42	0_100	-1.03	1	2023-05-23 19:14:52	2023-05-23 19:14:52	2023-05-23 19:14:52
174	77c18aa0ae	1	1	gotpsi	ph02844j	0.00	1.00	0.00	NULL	0.00	1.00	1.00	4.00	2.00	5.00	1.00	1.00	3.00	5.00	3.00	5.00	Serene,Nature,Grass,Hill,Calm	104	0	0.44	1	2023-05-23 19:29:25	2023-05-23 19:29:25	2023-05-23 19:29:25
175	77c18aa0ae	1	1	gotpsi	j0178355	0.00	1.00	1.00	NULL	0.00	1.00	0.00	5.00	4.00	3.00	1.00	2.00	2.00	5.00	5.00	5.00	Water,Rafting,Person,Outdoors,Dynamic	71	0	0.87	1	2023-05-23 19:30:50	2023-05-23 19:30:50	2023-05-23 19:30:50
176	852c40a4c1	1	1	gotpsi	j0289938	0.00	1.00	1.00	NULL	0.00	1.00	0.00	1.00	1.00	4.00	2.00	5.00	4.00	4.00	3.00	5.00	Jungle,Pointy,Colorful,Parrot,	146	0	0.77	1	2023-05-23 23:14:53	2023-05-23 23:14:53	2023-05-23 23:14:53
177	852c40a4c1	1	2	gotpsi	400079	0.00	1.00	1.00	NULL	1.00	0.00	1.00	5.00	1.00	1.00	1.00	5.00	3.00	5.00	5.00	5.00	Whale,Grey,Water,,	48	0_100	1.07	1	2023-05-23 23:15:49	2023-05-23 23:15:49	2023-05-23 23:15:49
178	65fc3500be	1	1	gotpsi	p11001	0.00	0.00	1.00	NULL	1.00	1.00	0.00	5.00	4.00	3.00	1.00	1.00	1.00	4.00	1.00	4.00	Fast,Happy,Fun,,	53	0	0.20	1	2023-05-24 00:48:09	2023-05-24 00:48:09	2023-05-24 00:48:09
179	65fc3500be	1	2	gotpsi	p1080	1.00	0.00	0.00	NULL	1.00	1.00	0.00	5.00	1.00	5.00	1.00	4.00	1.00	1.00	4.00	1.00	Cold,Isolated,Wet,,	63	0_100	-2.00	1	2023-05-24 00:49:16	2023-05-24 00:49:16	2023-05-24 00:49:16
180	55c781238a	1	1	gotpsi	j0180654	0.00	1.00	1.00	NULL	0.00	1.00	0.00	4.00	1.00	4.00	2.00	3.00	2.00	4.00	3.00	4.00	peaceful,love,gentle,,	99	0	-0.61	1	2023-05-24 01:15:06	2023-05-24 01:15:06	2023-05-24 01:15:06
181	55c781238a	1	2	gotpsi	j0144694	0.00	1.00	1.00	NULL	0.00	0.00	0.00	2.00	2.00	4.00	4.00	2.00	3.00	4.00	3.00	4.00	beautiful,colour,free,,	74	0_100	-0.46	1	2023-05-24 01:16:33	2023-05-24 01:16:33	2023-05-24 01:16:33
